TimeStamp,Posture,RakatCount,
22:48:18,Long Standing,4,,
22:48:35,Bowing,4,,
22:48:38,Short Standing,4,,
22:48:42,1st Prostration,4,,
22:48:47,Short Sitting,4,,
22:48:49,2nd Prostration,4,,
22:48:54,Long Standing,4,,
22:49:10,Bowing,4,,
22:49:15,Short Standing,4,,
22:49:19,1st Prostration,4,,
22:49:25,Short Sitting,4,,
22:49:28,2nd Prostration,4,,
22:49:33,Long Sitting,4,,
22:49:42,Long Standing,4,,
22:49:56,Bowing,4,,
22:50:01,Short Standing,4,,
22:50:04,1st Prostration,4,,
22:50:10,Short Sitting,4,,
22:50:13,2nd Prostration,4,,
22:50:19,Long Standing,4,,
22:50:34,Bowing,4,,
22:50:39,Short Standing,4,,
22:50:43,1st Prostration,4,,
22:50:49,Short Sitting,4,,
22:50:51,2nd Prostration,4,,
22:50:56,Long Sitting,4,,
22:51:11,End Namaz,4,,
