TimeStamp,Posture,RakatCount,
22:56:42,Long Standing,3,,
22:57:01,Bowing,3,,
22:57:05,Short Standing,3,,
22:57:08,1st Prostration,3,,
22:57:14,Short Sitting,3,,
22:57:16,2nd Prostration,3,,
22:57:21,Long Standing,3,,
22:57:37,Bowing,3,,
22:57:41,Short Standing,3,,
22:57:44,1st Prostration,3,,
22:57:50,Short Sitting,3,,
22:57:52,2nd Prostration,3,,
22:57:58,Long Sitting,3,,
22:58:08,Long Standing,3,,
22:58:21,Bowing,3,,
22:58:25,Short Standing,3,,
22:58:28,1st Prostration,3,,
22:58:34,Short Sitting,3,,
22:58:37,2nd Prostration,3,,
22:58:42,Long Sitting,3,,
22:58:59,End Namaz,3,,
