TimeStamp,Posture,RakatCount,
22:50:49,Long Standing,3,,
22:51:10,Bowing,3,,
22:51:15,Short Standing,3,,
22:51:18,1st Prostration,3,,
22:51:21,Short Sitting,3,,
22:51:23,2nd Prostration,3,,
22:51:28,Long Standing,3,,
22:51:38,Bowing,3,,
22:51:42,Short Standing,3,,
22:51:44,1st Prostration,3,,
22:51:47,Short Sitting,3,,
22:51:49,2nd Prostration,3,,
22:51:53,Long Sitting,3,,
22:52:07,Long Standing,3,,
22:52:18,Bowing,3,,
22:52:22,Short Standing,3,,
22:52:25,1st Prostration,3,,
22:52:28,Short Sitting,3,,
22:52:30,2nd Prostration,3,,
22:52:34,Long Sitting,3,,
22:52:57,End Namaz,3,,
