TimeStamp,Posture,RakatCount,
22:47:24,Long Standing,4,,
22:47:43,Bowing,4,,
22:47:48,Short Standing,4,,
22:47:50,1st Prostration,4,,
22:47:53,Short Sitting,4,,
22:47:55,2nd Prostration,4,,
22:48:00,Long Standing,4,,
22:48:14,Bowing,4,,
22:48:17,Short Standing,4,,
22:48:21,1st Prostration,4,,
22:48:25,Short Sitting,4,,
22:48:27,2nd Prostration,4,,
22:48:31,Long Sitting,4,,
22:48:41,Long Standing,4,,
22:48:49,Bowing,4,,
22:48:53,Short Standing,4,,
22:48:56,1st Prostration,4,,
22:48:59,Short Sitting,4,,
22:49:02,2nd Prostration,4,,
22:49:07,Long Standing,4,,
22:49:19,Bowing,4,,
22:49:23,Short Standing,4,,
22:49:27,1st Prostration,4,,
22:49:30,Short Sitting,4,,
22:49:33,2nd Prostration,4,,
22:49:38,Long Sitting,4,,
22:50:03,End Namaz,4,,
