TimeStamp,Posture,RakatCount,
22:44:06,Long Standing,4,,
22:44:23,Bowing,4,,
22:44:27,Short Standing,4,,
22:44:30,1st Prostration,4,,
22:44:35,Short Sitting,4,,
22:44:37,2nd Prostration,4,,
22:44:42,Long Standing,4,,
22:44:59,Bowing,4,,
22:45:04,Short Standing,4,,
22:45:07,1st Prostration,4,,
22:45:12,Short Sitting,4,,
22:45:14,2nd Prostration,4,,
22:45:19,Long Sitting,4,,
22:45:29,Long Standing,4,,
22:45:44,Bowing,4,,
22:45:49,Short Standing,4,,
22:45:52,1st Prostration,4,,
22:45:58,Short Sitting,4,,
22:46:00,2nd Prostration,4,,
22:46:05,Long Standing,4,,
22:46:19,Bowing,4,,
22:46:24,Short Standing,4,,
22:46:26,1st Prostration,4,,
22:46:31,Short Sitting,4,,
22:46:33,2nd Prostration,4,,
22:46:38,Long Sitting,4,,
22:46:56,End Namaz,4,,
