TimeStamp,Posture,RakatCount,
22:53:10,Long Standing,3,,
22:53:35,Bowing,3,,
22:53:39,Short Standing,3,,
22:53:44,1st Prostration,3,,
22:53:51,Short Sitting,3,,
22:53:53,2nd Prostration,3,,
22:53:59,Long Standing,3,,
22:54:16,Bowing,3,,
22:54:20,Short Standing,3,,
22:54:23,1st Prostration,3,,
22:54:28,Short Sitting,3,,
22:54:30,2nd Prostration,3,,
22:54:35,Long Sitting,3,,
22:54:44,Long Standing,3,,
22:54:56,Bowing,3,,
22:55:00,Short Standing,3,,
22:55:03,1st Prostration,3,,
22:55:08,Short Sitting,3,,
22:55:11,2nd Prostration,3,,
22:55:15,Long Sitting,3,,
22:55:33,End Namaz,3,,
