TimeStamp,Posture,RakatCount,
22:53:58,Long Standing,3,,
22:54:18,Bowing,3,,
22:54:22,Short Standing,3,,
22:54:26,1st Prostration,3,,
22:54:30,Short Sitting,3,,
22:54:32,2nd Prostration,3,,
22:54:38,Long Standing,3,,
22:54:54,Bowing,3,,
22:54:58,Short Standing,3,,
22:55:02,1st Prostration,3,,
22:55:06,Short Sitting,3,,
22:55:09,2nd Prostration,3,,
22:55:12,Long Sitting,3,,
22:55:24,Long Standing,3,,
22:55:47,Bowing,3,,
22:55:52,Short Standing,3,,
22:55:55,1st Prostration,3,,
22:55:59,Short Sitting,3,,
22:56:02,2nd Prostration,3,,
22:56:05,Long Sitting,3,,
22:56:30,End Namaz,3,,
